# Source: Physics of Magnetic Garnets
Temperature (K),Kc2 (kerg/cc)
3.2417366517705464,-2.5841486237187894
10.412851063262982,-2.6187804277027795
19.60859401535786,-2.399084921179347
30.02644005034931,-2.4987346071621244
39.766634920846336,-2.6937882531584885
50.90375688473605,-2.5386111314609976
61.24667834380058,-2.925221943243804
71.15337227191293,-2.482584198573438
80.9102170481715,-2.6138687055031298
91.37801280044756,-2.5222109742858883
101.82915864696207,-2.4943223821353198
122.08709898701976,-2.406410879714424
141.79226245579449,-1.9356347943070678
160.69490046686337,-2.0385312119133445
180.35011421835355,-1.7590625437060086
201.1608314296941,-2.054015624271571
220.9076196628727,-1.4238166911975347
240.47958388555517,-1.4631937183235617
260.1764224014492,-1.0243022024495416
281.012114471432,-1.2236015744150974
300.6839781286838,-0.8803637671410864
320.39746655033935,-0.3777031122003939
339.98608067878337,-0.3533110002597485
358.9636432657791,-0.16924629206599742
379.213258652956,-0.11321935917843463
