# DOI: 10.1103/PhysRev.134.A1581
Temperature (K),Magnetization (emu/g)
3.697687321001041, 37.73148032448482
66.86726212194671, 37.282089858100385
77.39952316927491, 37.053346062147945
82.08086129424052, 36.93886170409505
85.59261462180925, 36.82415242588882
89.10136901400003, 36.824827186348855
94.95529087174052, 36.595183709783036
98.4640452639313, 36.59585847024307
100.80621379410309, 36.480924271883495
105.49055085444667, 36.251055875164326
111.33847484143126, 36.252180475931056
112.51405750958409, 36.02163731875185
123.0463185569123, 35.79289352279942
128.90024041465279, 35.56325004623359
134.7541622723933, 35.33360656966778
138.26891453533995, 35.10351325279527
141.77466999215278, 35.219572051921574
160.50901929814916, 34.41548250371119
165.19635529387068, 34.070230068325756
173.39244568178296, 33.72565239340035
176.9071979447296, 33.49555907652784
182.75812086709215, 33.38129963862829
186.27287313003885, 33.15120632175579
194.46896351795112, 32.80662864683038
200.3288832464475, 32.34621709293202
202.6710517766193, 32.23128289457243
208.52497363435987, 32.00163941800662
210.87014109990952, 31.77132118098076
215.5484802894972, 31.772220861594143
217.8936477550469, 31.541902624568284
222.5779848153905, 31.31203422784912
227.26232187573413, 31.08216583112996
230.7770741386808, 30.852072514257447
231.94965787145566, 30.73691339574452
235.46141119902433, 30.622204117538285
238.97016559121516, 30.62287887799832
242.48791678953967, 30.277401522459535
244.83608319046738, 29.931699246767405
249.51142344467712, 30.047982966047062
251.85659091022688, 29.817664729021203
254.2017583757766, 29.587346491995348
256.54692584132636, 29.357028254969492
261.2312629016699, 29.12715985825033
263.5734314318417, 29.012225659890746
267.0881836947883, 28.782132343018237
271.77252075513195, 28.55226394629907
276.45685781547553, 28.322395549579905
283.48336340599093, 27.97759295450116
286.9981156689375, 27.747499637628646
290.5128679318842, 27.51740632075614
295.1942060568498, 27.40292196270325
299.8815420525713, 27.05766952731781
316.2857185699077, 25.906978022801916
320.97305456562924, 25.561725587416475
330.34172868631634, 25.10198879397814
337.3682342768317, 24.757186198899397
350.25465959584346, 23.951972049922286
364.31066971225215, 23.14698282109852
374.8549265010921, 22.45670287048099
386.568768087329, 21.7666478400168
397.11002594079105, 21.191751928065543
406.48469793223404, 20.50124705729467
419.36812431586793, 19.811416946983826
435.78429657471605, 18.199189287802835
439.3020477730406, 17.85371193226405
448.6767197644836, 17.16320706149318
455.70922322575484, 16.58763638908188
460.3935602860984, 16.357767992362717
466.25647894997275, 15.781972399798079
473.2859834758661, 15.321785766053054
477.9763184069655, 14.861149292001343
486.1814056010116, 14.170419501077127
492.0443242648859, 13.594623908512482
497.9042439933823, 13.134212354614121
508.4604965237341, 11.982396249331494
513.1478325194556, 11.637143813946054
517.838167450555, 11.176507339894343
523.7040850498073, 10.485327708663434
528.4064157224186, 9.563155079946625
537.8020802615072, 8.064961938511836
543.6859914730271, 6.68147807528328
549.572901619925, 5.182610173388447
551.9360626977424, 4.259987704364953
556.6833774010228, 1.6070544956540402
