# Source: Physics of Magnetic Garnets
Temperature (K),Kc1 (kerg/cc)
2.7106046579774916,-24.618384159945652
9.254017622260523,-24.557112506743213
19.110761833088173,-24.305782179272867
30.32280837290487,-23.86364393177535
40.85720374822706,-23.516909644291417
51.383274170668315,-23.202059926340823
61.93431945175188,-22.791556499790214
71.20498697977364,-22.284899867466752
81.14498071940918,-21.714723844663045
90.40732329455017,-21.239951781872918
101.64434469300922,-20.70215982577539
121.52433217227987,-19.561807780167968
141.48756918035843,-18.102610039227184
160.27032786994434,-16.164644258113505
181.5638923483694,-14.610292305745554
199.6773248263415,-12.735845915112128
220.36816271619907,-10.989936796957736
240.41464925308526,-9.211893360683588
261.0055877083736,-7.84859907692923
281.52160158773506,-6.772265918974906
294.0889504565405,-6.139319751450216
299.40193538504576,-5.790587475274898
318.57929684117994,-4.841293098281071
339.0287110974952,-4.020036496593439
358.8420989537199,-3.1347610072527083
379.3248130215584,-2.1859661274317284
399.0383014432138,-1.6833054724910366
419.3961412178407,-1.2127791356701028
440.4066572983197,-0.742502547435594
459.400869791077,-0.49466870017517206
479.0477585896864,-0.24708460150116968
498.65302262389196,-0.15892335049383133
